"FID"	"IID"	"plant_height"	"trait_code"	"source_panel"	"analysis_environment"
"090325-A07"	"33"	"138.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B07"	"35"	"188.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090818-A05"	"36"	"170"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092227"	"37"	"94.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B08"	"39"	"188.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A08"	"40"	"133.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B10"	"41"	"200"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A04"	"43"	"52.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C02"	"44"	"116"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A09"	"45"	"178"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A10"	"46"	"169.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B11"	"49"	"119"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A11"	"50"	"105"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-A06"	"51"	"151.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A12"	"53"	"182.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090818-A07"	"54"	"169.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B01"	"55"	"105"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B02"	"56"	"93.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-A11"	"57"	"126.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-A12"	"58"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B12"	"59"	"180"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B01"	"60"	"156.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B02"	"61"	"156.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B03"	"65"	"168.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B04"	"67"	"130"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B04"	"68"	"117.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B05"	"69"	"143.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B06"	"70"	"167.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B07"	"71"	"65.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B08"	"72"	"62.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B08"	"73"	"125.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A05"	"74"	"90"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A06"	"75"	"152.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A07"	"76"	"65.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A08"	"77"	"161"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A09"	"78"	"133.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A10"	"79"	"94"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A11"	"80"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-A12"	"81"	"158.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B01"	"83"	"91"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B05"	"84"	"160.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B06"	"85"	"176.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C03"	"87"	"150.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B07"	"88"	"162"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C04"	"89"	"154.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092240"	"90"	"150.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B03"	"92"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B04"	"93"	"195.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B05"	"94"	"116"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B07"	"96"	"140"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B09"	"97"	"145.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B09"	"98"	"72.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B08"	"99"	"155.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B09"	"100"	"142.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A02"	"101"	"79"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C05"	"102"	"165"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D09"	"103"	"104"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090818-A11"	"104"	"134.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D10"	"105"	"134.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B10"	"106"	"75.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B02"	"107"	"116"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-B12"	"108"	"138"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C06"	"109"	"137.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C01"	"110"	"147"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C02"	"111"	"147"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092250"	"112"	"197"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C08"	"113"	"99.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C03"	"114"	"151.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C04"	"115"	"148.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A03"	"116"	"177.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B10"	"117"	"106.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A04"	"118"	"156.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-C09"	"120"	"189"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B10"	"121"	"133.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A05"	"122"	"196.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A06"	"123"	"132"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-B12"	"125"	"140"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A07"	"126"	"170"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A08"	"128"	"145.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A09"	"129"	"136.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A10"	"130"	"102.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A11"	"131"	"147.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-A12"	"132"	"134.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092399"	"133"	"180"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B01"	"134"	"132"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092221"	"135"	"141.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B03"	"137"	"138.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D01"	"138"	"250"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B04"	"139"	"112"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B05"	"140"	"141.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B06"	"141"	"176.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B07"	"142"	"205"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B08"	"143"	"127"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-B12"	"144"	"87.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B09"	"145"	"195"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B10"	"147"	"128.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-B12"	"149"	"156.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C01"	"150"	"130"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D02"	"152"	"150.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C02"	"153"	"150.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C03"	"154"	"190"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C04"	"155"	"171"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C05"	"156"	"68.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C06"	"157"	"121"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C07"	"158"	"105.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C08"	"160"	"179.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C01"	"161"	"54.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D04"	"162"	"143.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D05"	"163"	"154"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C09"	"164"	"158.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D03"	"165"	"172.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D07"	"166"	"192.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092282"	"167"	"113.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C02"	"168"	"186.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B01"	"169"	"127.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B02"	"170"	"93.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-B05"	"171"	"70.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B03"	"172"	"52.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-A01"	"173"	"96"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C10"	"174"	"171"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D06"	"175"	"177.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-B11"	"176"	"123"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C05"	"177"	"92.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C03"	"178"	"136"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C06"	"179"	"130"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C07"	"180"	"126.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C04"	"182"	"175"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C09"	"183"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C10"	"184"	"193.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D08"	"185"	"157.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C11"	"186"	"133.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-C12"	"187"	"116"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D09"	"188"	"109.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D10"	"189"	"138.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-D01"	"190"	"161.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-D02"	"191"	"200"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-D03"	"192"	"83.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C01"	"193"	"150"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B03"	"195"	"105.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B04"	"198"	"98"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B05"	"199"	"140"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C04"	"200"	"157.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C05"	"201"	"132.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C06"	"202"	"165"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C07"	"203"	"157.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C12"	"204"	"123"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C08"	"205"	"141.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B06"	"206"	"173"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C09"	"207"	"130.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C10"	"208"	"162.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-C11"	"209"	"69.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D01"	"211"	"127"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D02"	"212"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-D12"	"213"	"145"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D03"	"214"	"123.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D04"	"215"	"141.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092410"	"216"	"100"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D06"	"217"	"142"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D07"	"218"	"150.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D08"	"219"	"98.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D09"	"220"	"119.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C05"	"221"	"159.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D10"	"222"	"131.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D11"	"223"	"133.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090324-D12"	"224"	"154.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E01"	"225"	"127.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E02"	"226"	"115.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092281"	"227"	"126.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E04"	"228"	"105"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B04"	"229"	"102.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092272"	"231"	"63.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E07"	"232"	"94.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C06"	"233"	"113.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C10"	"234"	"46"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C09"	"235"	"141.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C08"	"236"	"145"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C02"	"237"	"136.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092297"	"239"	"117.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C07"	"240"	"125.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E08"	"241"	"72.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E09"	"242"	"115.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C11"	"243"	"165.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092214"	"244"	"73.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B05"	"245"	"140"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092294"	"246"	"142.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B06"	"247"	"136.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C08"	"248"	"139"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092330"	"249"	"125"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F01"	"250"	"111.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-E12"	"251"	"79.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F03"	"252"	"168.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092292"	"253"	"125.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E07"	"254"	"72.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E06"	"255"	"139.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092363"	"256"	"135"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F05"	"257"	"112.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F06"	"258"	"135.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F07"	"259"	"185"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092305"	"260"	"205"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F09"	"261"	"130"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E08"	"262"	"113.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B07"	"263"	"130"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F08"	"264"	"148.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B08"	"265"	"169.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-C12"	"266"	"133.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D01"	"267"	"115.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D02"	"268"	"139.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D03"	"269"	"67"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B07"	"270"	"128"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D04"	"271"	"159.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E09"	"272"	"100"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D05"	"273"	"141.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D06"	"274"	"154.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D07"	"275"	"121.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D08"	"276"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D09"	"277"	"95.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D10"	"278"	"57.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C09"	"279"	"93.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C10"	"280"	"150"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B09"	"281"	"119.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C03"	"282"	"108.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C06"	"283"	"111.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B10"	"284"	"80.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C04"	"285"	"90.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D11"	"286"	"120"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-D02"	"287"	"126.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-C07"	"288"	"94.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C11"	"289"	"128.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-C12"	"290"	"109.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B08"	"291"	"68.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E10"	"293"	"160.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-B12"	"294"	"103.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-C01"	"295"	"148.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D01"	"296"	"105.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D02"	"297"	"116.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E11"	"298"	"154.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D03"	"299"	"136.9"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-B09"	"300"	"105.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D04"	"301"	"137.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D05"	"302"	"123"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D06"	"303"	"113.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D07"	"304"	"126.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-E12"	"305"	"142.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-D12"	"306"	"121"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092341"	"307"	"132"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E01"	"308"	"105"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E02"	"309"	"169.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E03"	"310"	"117.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E04"	"311"	"127.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D08"	"312"	"127"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E05"	"313"	"120"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F02"	"314"	"138.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E07"	"315"	"155"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E08"	"316"	"150"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E09"	"317"	"148.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E10"	"318"	"155"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092236"	"319"	"155"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-E12"	"320"	"153.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F01"	"321"	"157.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092248"	"322"	"100.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F03"	"323"	"158.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F04"	"324"	"137"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F05"	"325"	"135"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092225"	"326"	"120"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092246"	"327"	"114.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F08"	"328"	"162.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F09"	"329"	"143"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F10"	"330"	"158.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F11"	"331"	"144.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-F12"	"332"	"136"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G01"	"333"	"88.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G02"	"334"	"134.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G03"	"335"	"109.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G04"	"336"	"129.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-F11"	"337"	"143.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092327"	"338"	"130"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G02"	"340"	"152.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G03"	"341"	"132.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
